Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,VOLUME ,VALUE ,No of trades 
19-Apr-2022,"2,509.40","2,520.60","2,441.00","2,493.45","2,441.25","2,452.60","2,493.73",929834,2318751937,58595
18-Apr-2022,"2,435.00","2,500.00","2,410.00","2,461.35","2,493.25","2,493.45","2,461.41",1109814,2731705299,74589
13-Apr-2022,"2,492.20","2,495.95","2,441.10","2,488.20","2,461.50","2,461.35","2,465.68",1165453,2873636034,69275
12-Apr-2022,"2,480.00","2,508.50","2,440.25","2,489.85","2,485.00","2,488.20","2,474.98",1182427,2926484767,66063
11-Apr-2022,"2,503.00","2,509.95","2,477.40","2,509.95","2,490.00","2,489.85","2,492.73",660112,1645478192,60024
9-Jun-2021,"1,714.95","1,739.90","1,696.15","1,712.50","1,727.50","1,730.75","1,721.32",2551140,4391335781,81634
8-Jun-2021,"1,686.00","1,726.00","1,674.20","1,685.10","1,710.00","1,712.50","1,705.13",1743285,2972535123,67032
7-Jun-2021,"1,685.85","1,713.85","1,676.00","1,679.50","1,682.95","1,685.10","1,693.62",1471576,2492291551,72362
4-Jun-2021,"1,713.80","1,713.80","1,665.50","1,691.20","1,684.00","1,679.50","1,682.71",2952017,4967396031,105903
3-Jun-2021,"1,601.00","1,702.30","1,588.55","1,585.70","1,694.00","1,691.20","1,666.68",7221910,12036618144,226317
2-Jun-2021,"1,581.00","1,596.75","1,564.20","1,591.40","1,586.00","1,585.70","1,577.24",1859258,2932501704,49660
1-Jun-2021,"1,608.00","1,612.00","1,589.30","1,596.25","1,590.95","1,591.40","1,599.37",1111933,1778393359,48029
31-May-2021,"1,570.65","1,608.25","1,569.00","1,577.00","1,592.55","1,596.25","1,595.17",1525715,2433781389,63047
28-May-2021,"1,595.00","1,612.25","1,570.55","1,594.25","1,578.20","1,577.00","1,585.03",1028675,1630485225,41388
27-May-2021,"1,590.70","1,606.95","1,567.35","1,582.95","1,600.00","1,594.25","1,590.01",2810155,4468181818,66551
26-May-2021,"1,580.00","1,614.00","1,576.65","1,569.15","1,584.50","1,582.95","1,598.45",3839248,6136827933,108079
25-May-2021,"1,536.00","1,574.90","1,535.00","1,520.75","1,571.15","1,569.15","1,562.24",2530758,3953661924,78398
24-May-2021,"1,532.15","1,535.00","1,505.45","1,538.35","1,520.10","1,520.75","1,517.66",1126532,1709694189,36760
21-May-2021,"1,552.20","1,552.85","1,533.55","1,531.35","1,537.95","1,538.35","1,543.49",1158893,1788741466,61806
20-May-2021,"1,523.00","1,566.25","1,522.50","1,521.15","1,535.50","1,531.35","1,548.49",3032029,4695080877,83711
19-May-2021,"1,522.25","1,553.90","1,516.80","1,539.25","1,521.35","1,521.15","1,535.00",1504440,2309320940,64774
18-May-2021,"1,480.00","1,547.10","1,476.25","1,468.30","1,541.00","1,539.25","1,519.97",3075596,4674803327,94716
17-May-2021,"1,462.00","1,470.80","1,438.00","1,455.85","1,467.00","1,468.30","1,455.84",2218758,3230161627,60465
14-May-2021,"1,469.00","1,477.80","1,433.00","1,454.95","1,455.00","1,455.85","1,450.84",1876873,2723047153,87833
12-May-2021,"1,431.00","1,460.00","1,425.85","1,435.25","1,458.50","1,454.95","1,444.18",1358169,1961436042,102481
11-May-2021,"1,439.10","1,457.95","1,432.00","1,455.15","1,436.40","1,435.25","1,442.94",1582827,2283926052,106257
10-May-2021,"1,454.40","1,469.75","1,445.00","1,446.50","1,453.25","1,455.15","1,454.71",1322561,1923937800,69090
